i	mooneys	solution	labelsEn	labelsNl
711	img/tt/1332tt.jpg	img/gs/1332gs.jpg	subway, subway car, metro, tube	metro, tram, bus, zitplaatsen 
712	img/tt/1333tt.jpg	img/gs/1333gs.jpg	tractor, farming	tractor, boerderij
713	img/tt/1334tt.jpg	img/gs/1334gs.jpg	tractor, farming	tractor, boerderij
714	img/tt/1335tt.jpg	img/gs/1335gs.jpg	tractor, farming	tractor, boerderij
715	img/tt/1336tt.jpg	img/gs/1336gs.jpg	tractor, farming	tractor, boerderij
716	img/tt/1337tt.jpg	img/gs/1337gs.jpg	bulldozer, tractor, caterpillar, truck	tractor, bulldozer
717	img/tt/1338tt.jpg	img/gs/1338gs.jpg	truck, rig, trailer, trailer truck	vrachtwagen, camion 
718	img/tt/1339tt.jpg	img/gs/1339gs.jpg	truck, rig, trailer, trailer truck	vrachtwagen, camion 
719	img/tt/1340tt.jpg	img/gs/1340gs.jpg	chicken, fried chicken, roast, roast chicken	kip, gefrituurde kip, kippenbout, gebraden kip, vlees
720	img/tt/1341tt.jpg	img/gs/1341gs.jpg	bread, loaf, toast, slice	brood, boterham, toast
721	img/tt/1342tt.jpg	img/gs/1342gs.jpg	muffin, cupcake, breakfast	muffin, cup cake, ontbijt, cake
722	img/tt/1343tt.jpg	img/gs/1343gs.jpg	bagel, bagels	bagel, bagels, donut, donuts
723	img/tt/1344tt.jpg	img/gs/1344gs.jpg	sandwich	boterham
724	img/tt/1345tt.jpg	img/gs/1345gs.jpg	hotdog, hotdogs	hotdog, hotdogs
725	img/tt/1346tt.jpg	img/gs/1346gs.jpg	zucchini	courgette, aubergine 
726	img/tt/1347tt.jpg	img/gs/1347gs.jpg	zucchini	courgette, aubergine, pompoen 
727	img/tt/1348tt.jpg	img/gs/1348gs.jpg	squash, gourd	pompoen
728	img/tt/1349tt.jpg	img/gs/1349gs.jpg	squash, gourd	pompoen
729	img/tt/1350tt.jpg	img/gs/1350gs.jpg	squash, gourds	pompoen
730	img/tt/1351tt.jpg	img/gs/1351gs.jpg	pepper, red pepper, bell pepper, sweet pepper	paprika, rode paprika, zoete puntpaprika
731	img/tt/1352tt.jpg	img/gs/1352gs.jpg	pepper, red pepper, bell pepper, sweet pepper	paprika, rode paprika, zoete puntpaprika
732	img/tt/1353tt.jpg	img/gs/1353gs.jpg	pepper, red pepper, bell pepper, sweet pepper	paprika, rode paprika, zoete puntpaprika
733	img/tt/1354tt.jpg	img/gs/1354gs.jpg	pepper, red pepper, bell pepper, sweet pepper	paprika, rode paprika, zoete puntpaprika
734	img/tt/1355tt.jpg	img/gs/1355gs.jpg	pepper, red pepper, bell pepper, sweet pepper	paprika, rode paprika, zoete puntpaprika
735	img/tt/1356tt.jpg	img/gs/1356gs.jpg	pepper, red pepper, bell pepper, sweet pepper	paprika, rode paprika, zoete puntpaprika
736	img/tt/1357tt.jpg	img/gs/1357gs.jpg	bananas	bananen 
737	img/tt/1358tt.jpg	img/gs/1358gs.jpg	banana	banaan
738	img/tt/1359tt.jpg	img/gs/1359gs.jpg	banana	banaan
739	img/tt/1360tt.jpg	img/gs/1360gs.jpg	banana	banaan
740	img/tt/1361tt.jpg	img/gs/1361gs.jpg	bananas	bananen
741	img/tt/1362tt.jpg	img/gs/1362gs.jpg	pots, kitchen, stove	potten, kookplaat, keuken, fornuis, keukenmateriaal 
742	img/tt/1363tt.jpg	img/gs/1363gs.jpg	gravy, sauce, gravy boat	saus, jus
743	img/tt/1364tt.jpg	img/gs/1364gs.jpg	burrito, wrap, sandwich	wrap, burrito
744	img/tt/1365tt.jpg	img/gs/1365gs.jpg	burrito, wrap, sandwich	wrap, burrito
745	img/tt/1366tt.jpg	img/gs/1366gs.jpg	burrito, wrap, sandwich	wrap, burrito
746	img/tt/1367tt.jpg	img/gs/1367gs.jpg	burritos, wraps, tacos	wraps, burrito's, taco's 
747	img/tt/1368tt.jpg	img/gs/1368gs.jpg	burrito, wrap, sandwich	wrap, burrito
748	img/tt/1369tt.jpg	img/gs/1369gs.jpg	glass, champagne, wine glass, flute	glas, champagne, cava, wijnglas, wijn, aperitief 
749	img/tt/1370tt.jpg	img/gs/1370gs.jpg	glass, wine glass, wine	glas, wijn, wijnglas
750	img/tt/1371tt.jpg	img/gs/1371gs.jpg	glass, martini, martini glass	glas, aperitief, martini, martiniglas 
751	img/tt/1372tt.jpg	img/gs/1372gs.jpg	glass, martini, martini glass	glas, aperitief, martini, martiniglas 
752	img/tt/1373tt.jpg	img/gs/1373gs.jpg	cup, mug, coffee, tea	mok, tas, koffie, koffietas, thee
753	img/tt/1374tt.jpg	img/gs/1374gs.jpg	cup, mug, coffee, tea	mok, tas, koffie, koffietas, thee
754	img/tt/1375tt.jpg	img/gs/1375gs.jpg	cup, mug, coffee, tea	mok, tas, koffie, koffietas, thee
